Untested Devices
----------------
              R92  (LOC=R92, VAL=1.00K, TOL=1)   	/* se esta  probando */	
              R95  (LOC=R95, VAL=1.00K, TOL=1)   	/* se esta  probando */	
              R97  (LOC=R97, VAL=33.20R, TOL=1)   	/* se esta  probando */	
              R38  (LOC=R38, VAL=33.20R, TOL=1)   	/* no access pin */
              R77  (LOC=R77, VAL=1.00K, TOL=1)   	/* no access pin */
             R101  (LOC=R101, VAL=1.00K, TOL=1)   	/* no access pin */
             R109  (LOC=R109, VAL=1.00K, TOL=1)   	/* no access pin */
             R112  (LOC=R112, VAL=1.00K, TOL=1)   	/* no access pin */
             R113  (LOC=R113, VAL=33.20R, TOL=1)   	/* no access pin */
             R116  (LOC=R116, VAL=1.00K, TOL=1)   	/* no access pin */
             R130  (LOC=R130, VAL=1.00K, TOL=1)   	/* no access pin */
               U2  (LOC=U2, DESC=LINE INTERFACE STS48/192 VSC9186)   		/* se esta probando */
               U4  (LOC=U4, DESC=LINE INTERFACE STS48/192 VSC9186)   		/* se esta probando */
               U3  (LOC=U3, DESC=BUFFER 1:4 FANOUT LVDS 2.5V SY89832U)   	/* se esta probando */
               U5  (LOC=U5, DESC=BUFFER, TRANSLATOR, W/INPUT TERM MLF16)   	/* se esta probando */
               U6  (LOC=U6, DESC=BUS XCVR DUAL-SUPPY 3-ST SN74LVC1T45DBV)   	/* se esta probando */
   
